Date,Open,High,Low,Close,Adj Close,Volume
2021-10-18,2824.270020,2859.975098,2824.270020,2859.209961,2859.209961,828200
2021-10-19,2865.830078,2882.139893,2861.919922,2876.439941,2876.439941,765800
2021-10-20,2884.449951,2884.955078,2838.239990,2848.300049,2848.300049,897000
2021-10-21,2843.840088,2856.989990,2832.739990,2855.610107,2855.610107,742500
2021-10-22,2807.020020,2831.169922,2743.409912,2772.500000,2772.500000,1509100
2021-10-25,2776.209961,2784.115967,2734.969971,2775.459961,2775.459961,1054100
2021-10-26,2812.120117,2816.790039,2780.110107,2793.439941,2793.439941,1412900
2021-10-27,2798.050049,2982.360107,2798.050049,2928.550049,2928.550049,2592500
2021-10-28,2945.979980,2948.489990,2895.270020,2922.580078,2922.580078,1620900
2021-10-29,2910.399902,2972.260010,2903.330078,2965.409912,2965.409912,1447700
2021-11-01,2963.300049,2967.989990,2871.590088,2875.479980,2875.479980,1613600
2021-11-02,2896.187988,2938.409912,2892.820068,2917.260010,2917.260010,1057500
2021-11-03,2925.500000,2938.209961,2901.070068,2935.800049,2935.800049,894300
2021-11-04,2944.000000,2999.000000,2932.699951,2973.659912,2973.659912,1235000
2021-11-05,2987.070068,3011.415039,2973.040039,2984.820068,2984.820068,1019700
2021-11-08,3000.000000,3020.689941,2982.399902,2987.030029,2987.030029,919400
2021-11-09,2994.919922,3007.570068,2950.139893,2984.969971,2984.969971,843800
2021-11-10,2960.195068,2974.000000,2906.500000,2932.520020,2932.520020,1135400
2021-11-11,2942.139893,2970.044922,2933.889893,2934.959961,2934.959961,623200
2021-11-12,2956.629883,2997.189941,2929.080078,2992.909912,2992.909912,852000
2021-11-15,3000.000000,3009.540039,2973.050049,2987.760010,2987.760010,812400
2021-11-16,2983.409912,2996.649902,2967.000000,2981.520020,2981.520020,862700
2021-11-17,2984.580078,2992.520020,2971.260010,2981.239990,2981.239990,764500
2021-11-18,2982.919922,3032.199951,2979.969971,3014.179932,3014.179932,1332900
2021-11-19,3020.000000,3037.000000,2997.750000,2999.050049,2999.050049,988300
2021-11-22,3002.834961,3014.889893,2940.110107,2941.570068,2941.570068,1230400
2021-11-23,2942.260010,2953.879883,2897.790039,2935.139893,2935.139893,906300
2021-11-24,2927.000000,2940.000000,2903.979980,2934.350098,2934.350098,823200
2021-11-26,2900.310059,2905.939941,2849.709961,2856.120117,2856.120117,849600
2021-11-29,2885.969971,2937.239990,2885.969971,2922.280029,2922.280029,1313800
2021-11-30,2909.004883,2932.570068,2841.320068,2849.040039,2849.040039,2079500
2021-12-01,2884.250000,2929.982910,2830.000000,2832.360107,2832.360107,1423800
2021-12-02,2836.479980,2893.500000,2819.639893,2875.530029,2875.530029,1062500
2021-12-03,2889.909912,2904.260010,2823.000000,2850.409912,2850.409912,1333800
2021-12-06,2871.479980,2887.030029,2812.939941,2875.929932,2875.929932,1109900
2021-12-07,2919.000000,2966.000000,2914.050049,2960.729980,2960.729980,1162900
2021-12-08,2966.629883,2983.129883,2944.000000,2974.409912,2974.409912,948200
2021-12-09,2963.520020,2992.100098,2950.580078,2962.120117,2962.120117,929000
2021-12-10,2982.000000,2988.000000,2947.149902,2973.500000,2973.500000,1081700
2021-12-13,2968.879883,2971.250000,2927.199951,2934.090088,2934.090088,1205200
2021-12-14,2895.399902,2908.840088,2844.850098,2899.409912,2899.409912,1238900
2021-12-15,2887.320068,2950.344971,2854.110107,2947.370117,2947.370117,1364000
2021-12-16,2961.540039,2971.030029,2881.850098,2896.770020,2896.770020,1370000
2021-12-17,2854.290039,2889.201904,2835.760010,2856.060059,2856.060059,2162800
